[2026-04-29 13:44:01,428] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-29 13:44:02,201] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-29 13:44:02,203] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-29 13:44:02,234] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-29 13:44:02,234] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-29 13:44:03,330] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-29 13:44:03,331] [INFO] [transform:transform:85] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-29 13:44:06,381] [INFO] [transform:transform:95] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-04-29 13:44:06,436] [INFO] [load:load:32] - Loading transformed data...
[2026-04-29 13:44:17,463] [INFO] [load:load:52] - File saved: data/processed/prcsd_yellow_tripdata_2026-03.parquet.gzip (56.9 MB)
[2026-04-29 13:44:17,508] [INFO] [__main__:<module>:31] - ✅ Pipeline completed
